anilist_id,name,english_name,japanese_name,rows,parsed_rows,unique_episodes,biggest_span_size,biggest_span,all_spans,parser_methods
269,BLEACH,Bleach,BLEACH,476,476,366,366,1-366,1-366,sxxeyy:366; bare_number:110
97938,BORUTO: NARUTO NEXT GENERATIONS,Boruto: Naruto Next Generations,BORUTO-ボルト- NARUTO NEXT GENERATIONS,293,293,293,293,1-293,1-293,sxxeyy:293
527,Pocket Monsters,Pokémon,ポケットモンスター,552,549,274,263,1-263,"1-263, 266-276",sxxeyy:275; bare_number:274; unparsed:3
966,Crayon Shin-chan,Shin Chan,クレヨンしんちゃん,811,809,666,252,763-1014,"1-8, 12, 298-351, 363-424, 426-432, 434-479, 481-516, 518-539, ...+29 more",bare_number:699; episode_word:56; sxxeyy:54; unparsed:2
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),This is the Police Station in Front of Kameari Park in Katsushika Ward,こちら葛飾区亀有公園前派出所 (1996),274,274,247,232,1-232,"1-232, 234, 237, 245, 278-281, 283-288, 379-380",sxxeyy:228; bare_number:46
20,NARUTO,Naruto,NARUTO -ナルト-,220,220,220,220,1-220,1-220,sxxeyy:220
1564,Pocket Monsters Advanced Generation,Pokémon the Series: Ruby and Sapphire,ポケットモンスター　アドバンスジェネレーション,192,192,192,192,1-192,1-192,sxxeyy:192
1565,Pocket Monsters Diamond & Pearl,Pokémon the Series: Diamond and Pearl,ポケットモンスター ダイヤモンド&パール,191,191,191,191,1-191,1-191,sxxeyy:191
22,Tennis no Ouji-sama,The Prince of Tennis,テニスの王子様,178,178,178,178,1-178,1-178,sxxeyy:178
6702,FAIRY TAIL,Fairy Tail,FAIRY TAIL,563,404,175,175,1-175,1-175,bare_number:229; sxxeyy:175; unparsed:159
97940,Black Clover,Black Clover,ブラッククローバー,273,273,171,171,1-171,1-171,sxxeyy:171; bare_number:102
3972,Yu-Gi-Oh! 5D's,Yu☆Gi☆Oh! 5D's,遊☆戯☆王5D's（ファイブディーズ）,305,155,154,154,1-154,1-154,bare_number:155; unparsed:150
21,ONE PIECE,ONE PIECE,ONE PIECE,1614,1581,286,153,1-153,"1-153, 891, 893-896, 898-905, 907-919, 921-925, 929-932, 935-973, ...+5 more",sxxeyy:1198; bare_number:381; unparsed:33; episode_word:2
223,Dragon Ball,Dragon Ball,ドラゴンボール,718,618,153,153,1-153,1-153,bare_number:333; sxxeyy:285; unparsed:100
250,Konjiki no Gash Bell!!,Zatch Bell!,金色のガッシュベル!!,150,150,150,150,1-150,1-150,sxxeyy:150
11061,HUNTER×HUNTER (2011),Hunter x Hunter (2011),HUNTER×HUNTER (2011),148,148,148,148,1-148,1-148,sxxeyy:148
97634,Pocket Monsters Sun & Moon,Pokémon the Series: Sun & Moon,ポケットモンスター サン＆ムーン,294,148,146,146,1-146,1-146,sxxeyy:146; unparsed:146; bare_number:2
481,Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh! Duel Monsters,遊☆戯☆王　デュエルモンスターズ,305,305,144,144,1-144,1-144,bare_number:161; sxxeyy:144
149939,Ranma 1/2: Nettou-hen,Ranma ½ (1989),らんま1/2 熱闘編,227,227,140,140,22-161,22-161,bare_number:140; sxxeyy:87
