anilist_id,name,group,status,coverage_ratio,reason,rows,parsed_rows,unique_group_episodes,unique_title_episodes,group_episode_min,group_episode_max,title_episode_min,title_episode_max,biggest_group_span_size,group_spans,examples,unparsed_examples
158871,Pocket Monsters (2023),Fumi-Raws,possible_gave_up,0.022,starts near beginning and stops well before merged end,6,6,3,139,1,5,1,139,2,"1, 4-5",[Fumi-Raws] (Pokemon) (04) - New Pocket Monster series (TVQ 1920x1080 AAC).ass | [Fumi-Raws] (Pokemon) (01) - New Pocket Monster series (TVTokyo 1920x1080 AAC).srt | [Fumi-Raws] (Pokemon) (01) - New Pocket Monster series (TVTokyo 1920x1080 AAC).ass,
137309,Digimon Ghost Game,SubsPlease,possible_gave_up,0.069,starts near beginning and stops well before merged end,5,5,5,72,1,5,1,72,5,1-5,[SubsPlease] Digimon Ghost Game - 03 RETIMED.srt | [SubsPlease] Digimon Ghost Game - 04 RETIMED.srt | [SubsPlease] Digimon Ghost Game - 02 RETIMED.srt,
8687,Doraemon (2005),shincaps,possible_gave_up,0.076,starts near beginning and stops well before merged end,38,34,17,225,1,17,1,1292,17,1-17,[shincaps] Doraemon (2005) - 014 (CS-EX1 1440x1080 MPEG2 AAC).ass | [shincaps] Doraemon Birthday Special 2007 (CS-EX1 1440x1080 MPEG2 AAC).srt | [shincaps] Doraemon (2005) - 012 (CS-EX1 1440x1080 MPEG2 AAC).srt,[shincaps] Doraemon Birthday Special 2007 (CS-EX1 1440x1080 MPEG2 AAC).srt | [shincaps] Doraemon Birthday Special 2007 (CS-EX1 1440x1080 MPEG2 AAC).ass | [shincaps] Doraemon Birthday Special 2006 (CS-EX1 1440x1080 MPEG2 AAC).srt
94,Kidou Senshi Gundam SEED DESTINY,dmhy,possible_gave_up,0.100,starts near beginning and stops well before merged end,5,5,5,50,1,5,1,50,5,1-5,[dmhy][gundam seed destiny][002][dvdrip][CRC32 6D274449].jp.ass | [dmhy][gundam seed destiny][001][dvdrip][crc32 4021225a].jp.ass | [dmhy][gundam seed destiny][005][dvdrip].jp.ass,
142080,Delicious Party♡Precure,Serenae,possible_gave_up,0.111,starts near beginning and stops well before merged end,5,5,5,45,1,7,1,45,3,"1-2, 5-7",[Serenae] Delicious Party♡Precure - 06 (1080p).jp.srt | [Serenae] Delicious Party♡Precure - 01 (1080p).jp.srt | [Serenae] Delicious Party♡Precure - 07 (1080p).jp.srt,
2904,Code Geass: Hangyaku no Lelouch R2,LiouMing,possible_gave_up,0.120,starts near beginning and stops well before merged end,4,4,3,25,1,3,1,25,3,1-3,[LiouMing][Code Geass R2][03][x264 704x396].jp.ass | [LiouMing][Code Geass R2][02][x264 704x396].jp.ass | [LiouMing][Code Geass R2][01][x264 704x396].jp.ass,
185073,Kimi to Idol Precure♪,SubsPlease,possible_gave_up,0.122,starts near beginning and stops well before merged end,7,7,6,49,1,6,1,49,6,1-6,[SubsPlease] Kimi to Idol Precure - 03 (1080p) [2DE110AA].ass | [SubsPlease] Kimi to Idol Precure - 05 (1080p) [E6F1BD0C].srt | [SubsPlease] Kimi to Idol Precure - 02 (1080p) [8042AFE5].ass,
20923,Shokugeki no Souma,Leopard-Raws,possible_gave_up,0.125,starts near beginning and stops well before merged end,3,3,3,24,1,3,1,24,3,1-3,[Leopard-Raws] Shokugeki no Souma - 01 RAW (TBS 1280x720 x264 AAC).ass | [Leopard-Raws] Shokugeki no Souma - 03 RAW (TBS 1280x720 x264 AAC).ass | [Leopard-Raws] Shokugeki no Souma - 02 RAW (TBS 1280x720 x264 AAC).ass,
131681,Shingeki no Kyojin: The Final Season Part 2,Trix,possible_gave_up,0.125,starts near beginning and stops well before merged end,3,3,3,24,17,28,17,87,1,"17, 24, 28",[Trix] Shingeki no Kyojin S04E28 (87) (BD 1080p AV1) [6BB1C688].srt | [Trix] Shingeki no Kyojin S04E24 (83) (BD 1080p AV1) [86D149A3].srt | [Trix] Shingeki no Kyojin S04E17 (76) (BD 1080p AV1) [0C50BE6F].srt,
1604,Katekyou Hitman REBORN!,(no leading group),possible_gave_up,0.134,starts near beginning and stops well before merged end,16,16,16,119,1,16,1,203,16,1-16,Katekyou Hitman REBORN! - 10 ja.srt | Katekyou Hitman REBORN! - 05 ja.srt | Katekyou Hitman REBORN! - 06 ja.srt,
