anilist_id,name,group,status,coverage_ratio,reason,rows,parsed_rows,unique_group_episodes,unique_title_episodes,group_episode_min,group_episode_max,title_episode_min,title_episode_max,biggest_group_span_size,group_spans,examples,unparsed_examples
966,Crayon Shin-chan,(no leading group),probably_complete,0.995,covers most merged episodes,805,803,663,666,1,1160,1,1250,252,"1-8, 12, 298-351, 363-424, 426-432, 434-479, 481-516, 518-539, ...+27 more",Crayon Shin-chan 0463 (2003.02.15).srt | Crayon Shin-chan 0737 (2011.06.24).srt | Crayon Shin-chan 0952 (2017.12.01).srt,706ex.ass | 706ex.srt
2471,Doraemon (1979),NanakoRaws,probably_complete,1.000,covers most merged episodes,924,860,394,394,1,1390,1,1390,31,"1, 4, 7, 13, 16, 19, 22, 25, ...+223 more",[NanakoRaws] Doraemon (1979) - 305+311+660 (EX-CS2 1920x1080 x265 AAC).srt | [NanakoRaws] Doraemon (1979) - 1145+931 (EX-CS2 1432x1076 x265 AAC).srt | [NanakoRaws] Doraemon (1979) - 1699+640 (EX-CS2 1440x1080 x265 AAC).ass,[NanakoRaws] Doraemon (1979) - 1743+1528 (EX-CS2 1920x1080 x265 AAC).ass | [NanakoRaws] Doraemon (1979) - 1752+1535 (EX-CS2 1920x1080 x265 AAC).srt | [NanakoRaws] Doraemon (1979) - 1731+1514 (EX-CS2 1920x1080 x265 AAC).srt
269,BLEACH,(no leading group),probably_complete,1.000,covers most merged episodes,366,366,366,366,1,366,1,366,366,1-366,BLEACH.S12E226.激闘終結 .新たなる戦いへ!.WEBRip.Netflix.ja[cc].srt | BLEACH.S03E044.石田、極限の力!.WEBRip.Netflix.ja[cc].srt | BLEACH.S09E168.新隊長登場!.その名は天貝繍助.WEBRip.Netflix.ja[cc].srt,
97938,BORUTO: NARUTO NEXT GENERATIONS,(no leading group),probably_complete,1.000,covers most merged episodes,293,293,293,293,1,293,1,293,293,1-293,BORUTO.ボルト.NEXT.GENERATIONS.S10E132.自来也の課題.WEBRip.Netflix.ja[cc].srt | BORUTO.ボルト.NEXT.GENERATIONS.S17E257.火影になった木ノ葉丸! .WEBRip.Netflix.ja[cc].srt | BORUTO.ボルト.NEXT.GENERATIONS.S08E095.娘とイチャイチャ大作戦.WEBRip.Netflix.ja[cc].srt,
527,Pocket Monsters,Kids Station,probably_complete,1.000,covers most merged episodes,276,274,274,274,1,276,1,276,263,"1-263, 266-276",[Kids Station] Pocket Monsters - 147.ass | [Kids Station] Pocket Monsters - 273.ass | [Kids Station] Pocket Monsters - 197.ass,[Kids Station] Pocket Monsters - 264.ass | [Kids Station] Pocket Monsters - 265.ass
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),(no leading group),probably_complete,1.000,covers most merged episodes,274,274,247,247,1,380,1,380,232,"1-232, 234, 237, 245, 278-281, 283-288, 379-380",こちら葛飾区亀有公園前派出所.S02E055.お下劣写真パニック.WEBRip.Netflix.ja[cc].srt | KochiKame - 229 [Animax].srt | こちら葛飾区亀有公園前派出所.S04E133.激撮ホームビデオ王.WEBRip.Netflix.ja[cc].srt,
20,NARUTO,(no leading group),probably_complete,1.000,covers most merged episodes,220,220,220,220,1,220,1,220,220,1-220,NARUTO－ナルト－.S06E139.【オリジナル編1】恐怖.大蛇丸の館.WEB-DL.Hulu.ja.srt | NARUTO－ナルト－.S06E150.【オリジナル編1】だまして化かしてだまされて.壮絶ムシムシ大バトル.WEB-DL.Hulu.ja.srt | NARUTO－ナルト－.S05E123.【サスケ奪還編】木ノ葉の碧き野獣.見参.WEB-DL.Hulu.ja.srt,
19157,Youkai Watch,(no leading group),probably_complete,1.000,covers most merged episodes,282,279,210,210,1,214,1,214,99,"1-99, 102-128, 130-151, 153-214",Youkai Watch 015.srt | YO-KAI WATCH S01E17 sdh-jpn.srt | Youkai Watch 066.srt,YO-KAI WATCH THE MOVIE Tanjo no Himitsuda Nyan sdh-jpn.srt | YO-KAI WATCH The Movie Five Tales from Beyond… Meow!.JA.srt | YO-KAI WATCH The Movie Shadowside The Return of the Oni King.JA.srt
1564,Pocket Monsters Advanced Generation,(no leading group),probably_complete,1.000,covers most merged episodes,192,192,192,192,1,192,1,192,192,1-192,ポケットモンスターアドバンスジェネレーション.S01E077.強敵！？ママさんコーディネーター登場！.WEBRip.Amazon.ja-jp[sdh].srt | ポケットモンスターアドバンスジェネレーション.S01E153.バトルドーム！炎と水のフュージョン！！.WEBRip.Amazon.ja-jp[sdh].srt | ポケットモンスターアドバンスジェネレーション.S01E179.驚異！巨大ケッキングの山！！.WEBRip.Amazon.ja-jp[sdh].srt,
1565,Pocket Monsters Diamond & Pearl,(no leading group),probably_complete,1.000,covers most merged episodes,191,191,191,191,1,191,1,191,191,1-191,ポケットモンスターダイヤモンド・パール.S01E050.全員参加！タッグバトル！！.WEBRip.Amazon.ja-jp[sdh].srt | ポケットモンスターダイヤモンド・パール.S01E025.怪傑ロズレイドと花伝説！.WEBRip.Amazon.ja-jp[sdh].srt | ポケットモンスターダイヤモンド・パール.S01E173.メタモン・へんしんバトル！本物はドッチ～ニョ！？.WEBRip.Amazon.ja-jp[sdh].srt,
22,Tennis no Ouji-sama,(no leading group),probably_complete,1.000,covers most merged episodes,178,178,178,178,1,178,1,178,178,1-178,テニスの王子様.S01E157.幻のファントムボール.WEBRip.Netflix.ja[cc].srt | テニスの王子様.S01E001.王子様現る.WEBRip.Netflix.ja[cc].srt | テニスの王子様.S01E075.さらば、手塚国光.WEBRip.Netflix.ja[cc].srt,
6702,FAIRY TAIL,(no leading group),probably_complete,1.000,covers most merged episodes,348,189,175,175,1,175,1,175,175,1-175,FAIRY TAIL - E114 [TV].srt | FAIRY TAIL - E065 [TV].srt | Fairy.Tail.S04E148.天使の涙.WEBRip.Netflix.ja[cc].srt,FAIRY TAIL - E114 [TV].srt | FAIRY TAIL - E065 [TV].srt | FAIRY TAIL - E147 [TV].srt
6702,FAIRY TAIL,Erai-raws,probably_complete,1.000,covers most merged episodes,175,175,175,175,1,175,1,175,175,1-175,[Erai-raws] Fairy Tail - 124 [720p][Retimed From Netflix].srt | [Erai-raws] Fairy Tail - 175 [720p][Retimed From Netflix].srt | [Erai-raws] Fairy Tail - 148 [720p][Retimed From Netflix].srt,
97940,Black Clover,(no leading group),probably_complete,1.000,covers most merged episodes,171,171,171,171,1,171,1,171,171,1-171,ブラッククローバー.S02E094.新しい未来.WEBRip.Netflix.ja[cc].srt | ブラッククローバー.S01E042.海底神殿.WEBRip.Netflix.ja[cc].srt | ブラッククローバー.S02E073.王撰騎士団(ロイヤルナイツ)選抜試験.WEBRip.Netflix.ja[cc].srt,
